service_id,service_description,agency_id,agency_name
72969,Weekday,3D,Tri Delta Transit
72970,Weekday,3D,Tri Delta Transit
72971,Weekday,3D,Tri Delta Transit
74637,Saturday,3D,Tri Delta Transit
74638,Saturday,3D,Tri Delta Transit
74639,Saturday,3D,Tri Delta Transit
74640,Sunday,3D,Tri Delta Transit
74641,Sunday,3D,Tri Delta Transit
74642,Sunday,3D,Tri Delta Transit
74317,Wednesday only,AC,AC Transit
74315,"Weekday, before midnight",AC,AC Transit
74316,Weekday except Wednesday,AC,AC Transit
74312,Sunday,AC,AC Transit
74314,Weekday,AC,AC Transit
74313,Saturday late night/evening,AC,AC Transit
72905,Sunday,AC,AC Transit
72906,Saturday late night/evening,AC,AC Transit
72907,Weekday,AC,AC Transit
72908,Wednesday only,AC,AC Transit
72909,Friday only,AC,AC Transit
72910,Weekday except Wednesday,AC,AC Transit
74206,Weekday,AC,AC Transit
73210,Weekday,AC,AC Transit
73211,Saturday,AC,AC Transit
74318,Weekday except Wednesday,AC,AC Transit
73212,Friday late night/evening,AC,AC Transit
74319,Thursday only,AC,AC Transit
73213,Sunday,AC,AC Transit
74320,Weekday except Thursday,AC,AC Transit
73214,Weekday,AC,AC Transit
74321,Friday only,AC,AC Transit
73215,Wednesday only,AC,AC Transit
74322,Weekday except Friday,AC,AC Transit
73216,Weekday except Thursday,AC,AC Transit
74323,Tuesday only,AC,AC Transit
74207,Weekday except Wednesday,AC,AC Transit
74324,Weekday except Tuesday,AC,AC Transit
73218,Thursday only,AC,AC Transit
74325,Wednesday only,AC,AC Transit
73219,Weekday,AC,AC Transit
74326,"Mon, Tue, Fri",AC,AC Transit
73220,Saturday,AC,AC Transit
74327,Wednesday and Thursday,AC,AC Transit
74295,Sunday,AC,AC Transit
74328,Weekday,AC,AC Transit
74296,Saturday late night/evening,AC,AC Transit
74329,Weekday,AC,AC Transit
74297,Weekday,AC,AC Transit
74330,Saturday,AC,AC Transit
74298,"Weekday, before midnight",AC,AC Transit
74331,Friday late night/evening,AC,AC Transit
74299,"Mon, Wed, Fri",AC,AC Transit
74300,Tuesday and Thursday,AC,AC Transit
74301,Friday only,AC,AC Transit
74302,Wednesday only,AC,AC Transit
74303,Weekday except Wednesday,AC,AC Transit
74304,Weekday except Wednesday,AC,AC Transit
74305,Wednesday only,AC,AC Transit
74306,Wednesday only,AC,AC Transit
74307,Weekday,AC,AC Transit
74308,Weekday,AC,AC Transit
74309,Weekday,AC,AC Transit
74310,Saturday,AC,AC Transit
74311,Friday late night/evening,AC,AC Transit
72761,Weekend,AM,Capitol Corridor Joint Powers Authority
72762,Weekday,AM,Capitol Corridor Joint Powers Authority
72953,Weekday,BA,Bay Area Rapid Transit
72954,Saturday,BA,Bay Area Rapid Transit
72955,Sunday,BA,Bay Area Rapid Transit
73059,Saturday,CC,County Connection
73060,Sunday,CC,County Connection
74338,"Thurs, Fri",CC,County Connection
74339,Mon-Thurs,CC,County Connection
74340,Weekday,CC,County Connection
74341,Friday,CC,County Connection
72777,Weekday,CE,Altamont Corridor Express
73306,Midpoint Second (Monday-Friday),CM,Commute.org Shuttles
74709,Year Round (Monday-Friday),CM,Commute.org Shuttles
74710,Year Round (Monday only),CM,Commute.org Shuttles
72981,Year Round Weekend (Weekend),CT,Caltrain
72982,Year Round Saturday (Saturday only),CT,Caltrain
72983,Year Round Weekday (Monday-Friday),CT,Caltrain
74732,SpecialService,CT,Caltrain
74733,SpecialService,CT,Caltrain
74734,SpecialService,CT,Caltrain
74735,SpecialService,CT,Caltrain
74736,SpecialService,CT,Caltrain
74737,SpecialService,CT,Caltrain
74738,SpecialService,CT,Caltrain
74739,SpecialService,CT,Caltrain
74740,SpecialService,CT,Caltrain
72781,Weekday,DE,Dumbarton Express Consortium
72790,Year Round (Sunday only),EM,Emery Go-Round
72791,Year Round (Saturday only),EM,Emery Go-Round
72792,Year Round (Monday-Friday),EM,Emery Go-Round
72801,Year Round (Saturday only),FS,Fairfield and Suisun Transit
72802,Year Round (Monday-Friday),FS,Fairfield and Suisun Transit
72803,Year Round (Friday only),FS,Fairfield and Suisun Transit
72804,Year Round (Monday-Thursday),FS,Fairfield and Suisun Transit
72805,School Year (Monday-Friday),FS,Fairfield and Suisun Transit
73394,School Year (Monday-Friday),FS,Fairfield and Suisun Transit
73395,School Year (Monday-Friday),FS,Fairfield and Suisun Transit
74008,School Year (Monday-Friday),FS,Fairfield and Suisun Transit
72813,Weekday,GF,Golden Gate Ferry
72814,Saturday,GF,Golden Gate Ferry
72815,Sunday,GF,Golden Gate Ferry
73017,Sunday,GG,Golden Gate Transit
74285,Weekday,GG,Golden Gate Transit
74463,Weekday,GG,Golden Gate Transit
74612,Weekday,GG,Golden Gate Transit
74722,Saturday,GG,Golden Gate Transit
72918,18-19 School Calendar Spring (Thursday only),MA,Marin Transit
72919,18-19 School Calendar Spring (Wednesday only),MA,Marin Transit
72920,18-19 School Calendar Spring (Tuesday only),MA,Marin Transit
72921,18-19 School Calendar Spring (Friday only),MA,Marin Transit
72922,18-19 School Calendar Spring (Monday only),MA,Marin Transit
72923,61 Stagecoach 2019 Summer (Sunday only),MA,Marin Transit
72924,61 Stagecoach 2019 Summer (Saturday only),MA,Marin Transit
72925,COM Spring 2019 (Thursday only),MA,Marin Transit
72926,COM Spring 2019 (Wednesday only),MA,Marin Transit
72927,COM Spring 2019 (Tuesday only),MA,Marin Transit
74665,COM Spring 2019 (Friday only),MA,Marin Transit
74666,COM Spring 2019 (Monday only),MA,Marin Transit
74667,March 2019 SIGNUP (Sunday only),MA,Marin Transit
74668,March 2019 SIGNUP (Saturday only),MA,Marin Transit
74669,March 2019 SIGNUP (Monday-Friday),MA,Marin Transit
73075,Weekday (Ex Univ Holidays),MS,Stanford Marguerite Shuttle
73076,Weekend (Summer),MS,Stanford Marguerite Shuttle
73077,Weekday,MS,Stanford Marguerite Shuttle
73078,Weekday,MS,Stanford Marguerite Shuttle
73079,Weekend,MS,Stanford Marguerite Shuttle
73080,Daily,MS,Stanford Marguerite Shuttle
73081,Weekday (Incl Univ Holidays),MS,Stanford Marguerite Shuttle
73082,Weekday,MS,Stanford Marguerite Shuttle
73503,Weekend,MS,Stanford Marguerite Shuttle
72835,Nonschool Day service (Monday-Friday),PE,Petaluma Transit
72836,Nonschool Day service (Saturday only),PE,Petaluma Transit
72837,Nonschool Day service (Sunday only),PE,Petaluma Transit
72838,Nonschool Day service (Monday-Friday),PE,Petaluma Transit
72839,Nonschool Day service (Saturday only),PE,Petaluma Transit
72840,Nonschool Day service (Sunday only),PE,Petaluma Transit
74537,SCHOOLDAY SERVICE,PE,Petaluma Transit
74538,SCHOOLDAY SERVICE (Monday-Friday),PE,Petaluma Transit
74539,SCHOOLDAY SERVICE (Saturday only),PE,Petaluma Transit
74540,SCHOOLDAY SERVICE (Wednesday only),PE,Petaluma Transit
74541,SCHOOLDAY SERVICE (Sunday only),PE,Petaluma Transit
74542,SCHOOLDAY SERVICE,PE,Petaluma Transit
74543,SCHOOLDAY SERVICE (Monday-Friday),PE,Petaluma Transit
74544,SCHOOLDAY SERVICE (Saturday only),PE,Petaluma Transit
74545,SCHOOLDAY SERVICE (Wednesday only),PE,Petaluma Transit
74546,SCHOOLDAY SERVICE (Sunday only),PE,Petaluma Transit
74547,SCHOOLDAY SERVICE,PE,Petaluma Transit
74548,SCHOOLDAY SERVICE (Monday-Friday),PE,Petaluma Transit
74549,SCHOOLDAY SERVICE (Saturday only),PE,Petaluma Transit
74550,SCHOOLDAY SERVICE (Wednesday only),PE,Petaluma Transit
74551,SCHOOLDAY SERVICE (Sunday only),PE,Petaluma Transit
74552,SpecialService,PE,Petaluma Transit
74553,SpecialService,PE,Petaluma Transit
74554,SpecialService,PE,Petaluma Transit
72849,Year Round Calendar (Monday-Friday),RV,Rio Vista Delta Breeze
73343,Weekdays,SA,Sonoma Marin Area Rail Transit
73344,Weekends/Holiday,SA,Sonoma Marin Area Rail Transit
72855,Richmond Route starting 2/14/19 (Weekday),SB,San Francisco Bay Ferry
72856,President's Day (All days of week),SB,San Francisco Bay Ferry
74239,Richmond Route Ending 2/13/19 (Weekday),SB,San Francisco Bay Ferry
74411,Harbor Bay Route (Weekday),SB,San Francisco Bay Ferry
74451,Alameda/Oakland Routes (Weekend),SB,San Francisco Bay Ferry
74534,Alameda/Oakland Routes (Weekday),SB,San Francisco Bay Ferry
74618,South San Francisco Route (Weekday),SB,San Francisco Bay Ferry
