MTC Field Name,MTC Field Alias,MTC Field Type,MTC Field Description,County Field Name,County Field Description,Field Source,Required,MTC Domain,Notes
Shape,Shape,Geometry: Polygon,,,,external,Y,,
join_id,join_id,,Unique join id which joins buildings to parcels,,,internal,Y,,
parcel_id,PARCEL_ID,Numeric,Unique Parcel Identifier,,,internal,Y,,
asssessed_land_value,Assessed Value of the Land,Numeric,,land_value,,external w internal processing,N,,
assessed_date,Date of Last Assessment,,date on which assesment occuredd,,,external w internal processing,N,,
acres,ACRES,Numeric,parcel acres,land_sqft,,external w internal processing,Y,,
county_id,County Identifier,Numeric,"County numbers, MTC style (counter-clockwise starting w/ SF)",,,internal,Y,"1, 2, 3, 4, 5, 6, 7, 8, 9",FIPS?
county,County Name,Text,County names,,,internal,Y,full names of Bay Area Counties,
apn,APN,Text,Original parcel APN (non-unique),property_id,,external w internal processing,N,,
jurisdiction,jurisdiction,Text,"Jurisdiction that has political control over the parcel: the city for incorporated areas, the county for unicorporated areas)",situs_city,,external w internal processing,Y,Names of Bay Area cities and unincorporated counties (capitals and spaces),
zone_id,Travel Model One Travel Analysis Zone,Numeric,Legacy medium zone that the parcel is in or most closely associated with,,,internal,Y,,
taz22,Travel Model Two Travel Analysis Zone,Numeric,Medium zone that the parcel is in or most closely associated with,,,internal,Y,,
maz,Micro-Analysis Zone,Numeric,Small zone that the parcel is in or most closely associated with,,,internal,Y,,
X,X,Numeric,"X coordinate of ""centroid""",,,internal,Y,Bay Area bounding box,
Y,Y,Numeric,"Y coordinate of ""centroid""",,,internal,Y,Bay Area bounding box,
juris_id,Jurisdiction Identifier,Text,5-letter code for jurisdiction,,,internal,Y,,
pda_id,Priority Development Area Identifier,Text,"4-letter code for PDA, NA if none",,,internal,Y,,
tpa_id,Transportation Priority Area Identifier,Text,"4-letter code for PDA, NA if none",,,internal,Y,,
opp_id,Opportunity Site Identifier,Text,"4-letter code for PDA, NA if none",,,internal,Y,,
exp_id,Expansion Area Identifier,Text,"4-letter code for PDA, NA if none",,,internal,Y,,
exp_score,Expansion Area Score,Text,likelihood of UGB expansion,,,internal,N,,
zoningmodcat,Zoning Modification Category,Text,"Concatenation of juris_id, pda_id, tpa_id, opp_id, exp_id",,,internal,Y,,
